,Name,Age,Nationality,Overall,Club,Value,Wage,Preferred Foot,International Reputation,Work Rate,Height,Weight
5487,21 R. Draper,31,England,61,Ross County FC,€275K,€1K,Right,1.0,Medium/ High,196cm,87.0
5488,21 E. Binici,19,Turkey,60,Göztepe SK,€575K,€2K,Right,1.0,Medium/ Medium,176cm,75.0
5489,R. Contreras,26,Argentina,67,Platense,€1.3M,€6K,Left,1.0,High/ Low,182cm,79.0
5490,22 Vanderson,22,Brazil,63,Real Oviedo,€1.1M,€2K,Right,1.0,High/ Low,184cm,78.0
5491,20 G. Ruggiero,19,Italy,61,Livorno,€375K,€500,Right,1.0,Medium/ High,179cm,78.0
5492,Miguel Falé,18,Portugal,63,SC Braga,€1.1M,€1K,Right,1.0,High/ Medium,178cm,78.0
5493,22 M. Sosa,19,Argentina,61,Club Atlético Independiente,€675K,€1K,Right,1.0,Medium/ Medium,183cm,80.0
5494,V. Guillaume,21,Belgium,60,Seraing,€550K,€2K,Left,1.0,High/ High,188cm,79.0
5495,D. Eid,23,Norway,64,IFK Norrköping,€1.2M,€1K,Right,1.0,High/ Medium,183cm,73.0
5496,22 K. Nakayama,24,Japan,66,Shimizu S-Pulse,€1.1M,€1K,Right,1.0,Medium/ Medium,177cm,65.0
5497,22 N. El Aynaoui,19,France,60,AS Nancy Lorraine,€575K,€750,Right,1.0,Medium/ Medium,186cm,78.0
5498,N. Briasco,26,Armenia,69,Boca Juniors,€1.7M,€9K,Right,1.0,Medium/ Medium,182cm,80.0
5499,M. Farsi,22,Canada,63,Columbus Crew,€1M,€1K,Right,1.0,High/ Medium,178cm,68.0
5500,W. Caicedo,29,Ecuador,66,9 de Octubre,€850K,€500,Right,1.0,High/ Low,180cm,83.0
5501,A. Winbo,24,Sweden,60,Varbergs BoIS FC,€350K,€600,Left,1.0,Medium/ High,180cm,74.0
5502,17 A. Cassano,33,Italy,76,U.C. Sampdoria,€3.4M,€40K,Right,3.0,Medium/ Low,175cm,80.0
5503,I. Sissoko,26,France,70,FC Sochaux-Montbéliard,€2M,€5K,Right,1.0,Medium/ Medium,190cm,89.0
5504,M. Azeez,19,England,63,Arsenal,€1.2M,€8K,Right,1.0,High/ Medium,180cm,65.0
5505,22 M. Luayza,19,Argentina,62,Defensa y Justicia,€850K,€2K,Right,1.0,High/ Medium,176cm,76.0
5506,M. Espinoza,24,Paraguay,68,Club Libertad,€1.8M,€500,Left,1.0,Medium/ Medium,179cm,82.0
5507,V. Ethemi,24,North Macedonia,65,İstanbulspor,€1M,€4K,Right,1.0,High/ Low,179cm,69.0
5508,A. Medina,26,Bolivia,64,Independiente Petrolero,€700K,€500,Left,1.0,Medium/ Medium,168cm,63.0
5509,P. Brouwer,21,Netherlands,59,Sparta Rotterdam,€500K,€1K,Right,1.0,High/ Medium,176cm,70.0
5510,Pedrão Tofico,26,Brazil,78,Flamengo,€13.5M,€37K,Right,1.0,Low/ High,190cm,88.0
5511,J. Perea,22,Colombia,69,VfB Stuttgart,€3.2M,€11K,Right,1.0,High/ Low,180cm,80.0
5512,Ł. Poręba,22,Poland,63,Racing Club de Lens,€1M,€5K,Right,1.0,Medium/ Medium,180cm,70.0
5513,Serginho,27,Brazil,67,GZT Giresunspor,€1.1M,€5K,Right,1.0,High/ Medium,180cm,76.0
5514,T. Čvančara,21,Czech Republic,72,AC Sparta Praha,€4.8M,€700,Right,1.0,Medium/ Low,190cm,79.0
5515,Kang Hyun Muk,21,Korea Republic,62,Suwon Samsung Bluewings,€975K,€900,Right,1.0,High/ Medium,173cm,67.0
5516,N. Katterbach,21,Germany,70,FC Basel 1893,€3.4M,€10K,Left,1.0,Medium/ Medium,180cm,76.0
5517,A. Ejupi,29,Sweden,65,TSV Egger Glas Hartberg,€600K,€2K,Right,1.0,Medium/ Medium,192cm,86.0
5518,S. Baş,28,Turkey,61,Atakaş Hatayspor,€300K,€2K,Right,1.0,High/ Medium,180cm,74.0
5519,22 A. Galeano,21,Paraguay,65,Club Cerro Porteño,€1.6M,€500,Right,1.0,High/ High,173cm,70.0
5520,22 A. Bahachille,20,Venezuela,63,Metropolitanos de Caracas FC,€1.2M,€500,Right,1.0,Medium/ High,193cm,81.0
5521,20 A. Matri,34,Italy,70,U.S. Sassuolo Calcio,€925K,€27K,Right,2.0,Medium/ Low,183cm,80.0
5522,J. Lora,21,Peru,67,Club Sporting Cristal,€2.2M,€500,Right,1.0,Medium/ Medium,176cm,72.0
5523,D. Vizinger,24,Croatia,68,RZ Pellets Wolfsberger AC,€1.8M,€7K,Right,1.0,Medium/ Low,181cm,72.0
5524,J. Pérez,30,Venezuela,62,Hermanos Colmenarez,€375K,€500,Right,1.0,High/ Medium,184cm,75.0
5525,19 M. Richards,30,England,68,Aston Villa,€675K,€8K,Right,2.0,Medium/ Low,180cm,83.0
5526,A. Touré,28,France,72,Genoa,€2.3M,€4K,Right,1.0,Medium/ Medium,188cm,84.0
5527,A. Ajeti,25,Switzerland,69,Celtic,€2M,€24K,Right,1.0,Medium/ Low,183cm,78.0
5528,K. Hernández-Foster,20,United States,63,Hamarkameratene,€1.1M,€700,Left,1.0,Medium/ Medium,173cm,66.0
5529,J. Burroughs,21,Scotland,64,Coventry City,€1.4M,€4K,Right,1.0,High/ Medium,188cm,80.0
5530,R. Emond,30,Belgium,67,Standard de Liège,€1M,€6K,Right,1.0,High/ High,185cm,78.0
5531,I. Kaliuzhnyi,24,Ukraine,65,Kerala Blasters FC,€1M,€700,Left,1.0,Medium/ High,189cm,85.0
5532,Park Seung Wook,25,Korea Republic,67,Pohang Steelers,€1.2M,€3K,Right,1.0,Medium/ High,184cm,78.0
5533,20 P. Sotiriou,26,Cyprus,67,F.C. København,€900K,€8K,Right,1.0,High/ High,186cm,81.0
5534,M. Diagne,30,Senegal,74,Fatih Karagümrük S.K.,€4.1M,€24K,Right,1.0,Medium/ Low,191cm,86.0
5535,22 J. Mena,22,Bolivia,60,Club Atlético Palmaflor,€500K,€500,Right,1.0,Medium/ Medium,175cm,70.0
5536,L. Tchaouna,18,France,67,Stade Rennais FC,€2.1M,€6K,Left,1.0,Medium/ Medium,180cm,67.0
5537,22 Bruno Pascua,31,Spain,67,Club Deportivo Guabirá,€850K,€500,Right,1.0,High/ Medium,175cm,60.0
5538,J. Zemura,22,Zimbabwe,70,AFC Bournemouth,€3.1M,€19K,Left,1.0,High/ Medium,173cm,75.0
5539,22 J. Dodoo,26,Ghana,64,Doncaster Rovers,€775K,€3K,Right,1.0,Medium/ Low,183cm,70.0
5540,A. Boljević,26,Montenegro,66,Standard de Liège,€925K,€5K,Right,1.0,High/ Medium,185cm,78.0
5541,L. Rota,24,Greece,69,AEK Athens,€2M,€500,Right,1.0,Medium/ Medium,180cm,72.0
5542,K. Schade,20,Germany,70,Sport-Club Freiburg,€3.8M,€11K,Right,1.0,High/ Medium,183cm,74.0
5543,Marc Cardona,26,Spain,69,Unión Deportiva Las Palmas,€1.7M,€6K,Right,1.0,High/ Medium,183cm,70.0
5544,L. Demiquel,22,Bolivia,65,Club The Strongest,€1.5M,€500,Right,1.0,Medium/ Medium,187cm,83.0
5545,22 A. Quiñonez,24,Ecuador,68,Guayaquil City FC,€1.8M,€500,Right,1.0,Medium/ Low,180cm,81.0
5546,Galego,25,Brazil,63,Gangwon FC,€675K,€2K,Left,1.0,Medium/ Medium,176cm,70.0
5547,P. Vaca,20,Bolivia,63,Club Always Ready,€1.1M,€500,Right,1.0,Medium/ Medium,181cm,77.0
5548,S. Pattynama,23,Netherlands,63,Viking FK,€925K,€900,Left,1.0,High/ Medium,180cm,78.0
5549,22 C. Góngora,19,Bolivia,60,Club Deportivo Guabirá,€525K,€500,Right,1.0,Medium/ Medium,168cm,64.0
5550,22 Guilherme Mantuan,23,Brazil,65,Gil Vicente FC,€1.3M,€2K,Right,1.0,Medium/ High,178cm,70.0
5551,B. Luciatti,29,Argentina,70,Club Atlético Tigre,€1.5M,€7K,Left,1.0,Low/ Medium,178cm,67.0
5552,22 M. Rogoski,27,Argentina,63,Arsenal de Sarandí,€550K,€2K,Right,1.0,High/ High,176cm,72.0
5553,R. Dickie,26,England,74,Queens Park Rangers,€4.9M,€28K,Right,1.0,Medium/ Medium,195cm,74.0
5554,D. Huseinbašić,20,Germany,63,1. FC Köln,€1M,€4K,Right,1.0,Medium/ High,184cm,77.0
5555,A. Douiri,22,Netherlands,61,FC Volendam,€700K,€1K,Right,1.0,High/ Medium,180cm,63.0
5556,Dai Weijun,22,China PR,62,Shenzhen FC,€900K,€2K,Right,1.0,High/ Medium,177cm,68.0
5557,E. Britez,21,Paraguay,62,Guaireña FC,€775K,€500,Left,1.0,High/ High,175cm,73.0
5558,22 Rafa Santos,24,Portugal,63,Belenenses SAD,€725K,€1K,Right,1.0,Medium/ Medium,187cm,81.0
5559,D. van der Kust,21,Netherlands,69,FC Utrecht,€3M,€5K,Left,1.0,Medium/ Medium,168cm,60.0
5560,C. Hendry,24,Scotland,64,Salford City,€900K,€5K,Right,1.0,High/ Low,178cm,70.0
5561,Miguel Sousa,23,Portugal,65,Clube Sport Marítimo,€1.1M,€2K,Right,1.0,Medium/ Medium,176cm,68.0
5562,22 Dani Garrido,21,Spain,63,Real Sociedad B,€1.1M,€1K,Right,1.0,Medium/ Medium,170cm,70.0
5563,G. Thomason,21,England,62,Bolton Wanderers,€800K,€2K,Left,1.0,High/ High,177cm,69.0
5564,D. Burgzorg,23,Netherlands,68,1. FSV Mainz 05,€1.8M,€10K,Right,1.0,Medium/ Low,188cm,80.0
5565,A. Webster,27,England,76,Brighton & Hove Albion,€8.5M,€51K,Right,1.0,Medium/ Medium,191cm,75.0
5566,22 Y. Takagi,23,Japan,61,Yokohama FC,€525K,€800,Left,1.0,Medium/ Medium,176cm,70.0
5567,21 B. Dedola,19,France,62,AC Ajaccio,€900K,€650,Right,1.0,Medium/ Medium,180cm,75.0
5568,L. Sánchez,21,Colombia,63,América de Cali,€1.2M,€600,Right,1.0,Medium/ Medium,171cm,66.0
5569,David Costa,21,Portugal,73,Racing Club de Lens,€7M,€20K,Left,1.0,High/ Low,168cm,64.0
5570,J. Kiwior,22,Poland,71,Spezia,€3.6M,€9K,Left,1.0,Medium/ Medium,189cm,75.0
5571,A. Zanoli,21,Italy,69,Napoli,€3M,€14K,Right,1.0,Medium/ Medium,188cm,76.0
5572,T. Danesi,21,Venezuela,60,Metropolitanos de Caracas FC,€550K,€500,Left,1.0,Medium/ Medium,170cm,65.0
5573,D. Rivillo,25,Venezuela,66,Caracas Fútbol Club,€1.2M,€500,Right,1.0,Medium/ Medium,179cm,71.0
5574,S. González,19,Ecuador,64,LDU Quito,€1.4M,€500,Left,1.0,Medium/ Medium,178cm,65.0
5575,21 M. Beran,19,Czech Republic,69,SK Slavia Praha,€3M,€500,Right,1.0,High/ Medium,167cm,58.0
5576,14 A. D'Apuzzo,26,Australia,62,Western Sydney Wanderers,€170K,€3K,Left,1.0,Medium/ Medium,180cm,80.0
5577,M. Ocampo,20,Uruguay,65,Club Atlético River Plate,€1.6M,€500,Right,1.0,Medium/ Low,180cm,65.0
5578,22 P. Ostachuk,21,Argentina,63,Club Atlético Independiente,€1M,€2K,Right,1.0,Medium/ Low,180cm,76.0
5579,Jutglà,23,Spain,69,Club Brugge KV,€3.1M,€11K,Right,1.0,Medium/ Medium,174cm,79.0
5580,22 G. Machado,20,Argentina,62,Cerro Largo Fútbol Club,€825K,€500,Right,1.0,Medium/ Medium,175cm,72.0
5581,22 Bojan,30,Spain,67,Vissel Kobe,€1M,€4K,Right,2.0,Medium/ Low,170cm,65.0
5582,A. D'Errico,30,Italy,67,Bari,€975K,€2K,Right,1.0,Medium/ Medium,171cm,68.0
5583,Luis Perea,24,Spain,66,CD Leganés,€1.8M,€3K,Right,1.0,Medium/ Medium,191cm,83.0
5584,J. Mosquera,19,Colombia,65,Portland Timbers,€1.5M,€1K,Right,1.0,Medium/ Medium,180cm,72.0
5585,S. Steijn,20,Netherlands,66,FC Twente,€1.9M,€3K,Right,1.0,Medium/ Medium,173cm,61.0
5586,21 Vander,31,Brazil,64,Club Always Ready,€475K,€500,Left,1.0,High/ High,173cm,70.0
5587,O. Kabak,22,Turkey,73,TSG Hoffenheim,€5.5M,€20K,Right,2.0,High/ Medium,186cm,86.0
5588,A. Ndao,25,Senegal,72,Antalyaspor,€3.1M,€18K,Right,1.0,Medium/ High,176cm,68.0
5589,21 L. Andrada,19,Argentina,62,Racing Club,€950K,€2K,Left,1.0,Medium/ Medium,177cm,68.0
5590,B. Martins Indi,30,Netherlands,75,AZ Alkmaar,€4.6M,€10K,Left,2.0,Medium/ Medium,185cm,76.0
5591,K. Aparicio,29,Peru,67,Cienciano,€950K,€500,Right,1.0,Low/ High,189cm,84.0
5592,22 Vitinho,22,Brazil,65,Dynamo Kyiv,€1.6M,€500,Right,1.0,Medium/ Medium,180cm,75.0
5593,J. Monaga,24,Ecuador,63,Mushuc Runa,€650K,€500,Left,1.0,Medium/ Medium,169cm,69.0
5594,22 T. Kikuchi,22,Japan,61,Sagan Tosu,€750K,€900,Left,1.0,Medium/ Medium,160cm,60.0
5595,Y. Konoplia,22,Ukraine,68,Shakhtar Donetsk,€2.6M,€500,Right,1.0,Medium/ Medium,180cm,74.0
5596,G. Ferrarini,22,Italy,67,Fiorentina,€2M,€12K,Right,1.0,High/ High,180cm,70.0
5597,N. Palacio,21,Colombia,61,Atlético Nacional,€800K,€700,Right,1.0,Medium/ Medium,178cm,75.0
5598,22 T. Ogashiwa,22,Japan,65,Hokkaido Consadole Sapporo,€1.1M,€2K,Right,1.0,High/ Medium,167cm,67.0
5599,N. Molina,29,Ecuador,67,Barcelona Sporting Club,€875K,€500,Right,1.0,Medium/ Medium,178cm,79.0
5600,T. Akinola,21,England,62,Arsenal,€925K,€8K,Right,1.0,High/ High,177cm,73.0
5601,N. Niemann,22,Germany,64,DSC Arminia Bielefeld,€1.3M,€4K,Right,1.0,High/ Low,171cm,60.0
5602,21 R. Figiel,29,Poland,62,Podbeskidzie Bielsko-Biała,€350K,€1K,Right,1.0,High/ Medium,175cm,74.0
5603,F. Di Mariano,26,Italy,71,Lecce,€2.2M,€12K,Right,1.0,High/ High,177cm,68.0
5604,A. Hasić,20,Bosnia and Herzegovina,67,Beşiktaş JK,€2.2M,€11K,Left,1.0,High/ Low,177cm,80.0
5605,J. Stanišić,22,Croatia,72,FC Bayern München,€5M,€27K,Right,1.0,Medium/ Medium,187cm,77.0
5606,J. Boyamba,25,Germany,67,TSV 1860 München,€1.2M,€2K,Left,1.0,Medium/ Medium,172cm,66.0
5607,22 D. Ayala,21,Mexico,60,Tigres U.A.N.L.,€550K,€5K,Right,1.0,Medium/ High,180cm,70.0
5608,M. Konaté,29,Senegal,69,Dijon FCO,€1.4M,€5K,Right,1.0,High/ Low,183cm,78.0
5609,M. Bonne,26,Zimbabwe,66,Queens Park Rangers,€1.1M,€11K,Right,1.0,High/ Medium,180cm,76.0
5610,Rivaldinho,27,Brazil,63,Universitatea Craiova,€550K,€4K,Right,1.0,High/ Low,186cm,85.0
5611,K. Sierhuis,24,Netherlands,68,Stade de Reims,€2.4M,€9K,Right,1.0,Medium/ Low,180cm,83.0
5612,P. Janasik,24,Poland,65,Śląsk Wrocław,€950K,€2K,Right,1.0,Medium/ Medium,178cm,68.0
5613,T. Nianzou,20,France,73,FC Bayern München,€7M,€26K,Right,1.0,Low/ High,191cm,85.0
5614,F. Flick,22,Germany,68,FC Schalke 04,€2.6M,€8K,Right,1.0,Medium/ Medium,190cm,79.0
5615,T. Schwede,28,Germany,63,1. FC Saarbrücken,€425K,€2K,Left,1.0,Medium/ Medium,182cm,73.0
5616,22 D. Jurić,23,Australia,67,Dinamo Zagreb,€1.5M,€500,Right,1.0,High/ Medium,188cm,75.0
5617,D. Zalazar,20,Argentina,64,Argentinos Juniors,€1.3M,€2K,Right,1.0,Medium/ Medium,173cm,68.0
5618,22 J. Chambi,20,Bolivia,60,Club Always Ready,€550K,€500,Right,1.0,Medium/ Medium,177cm,72.0
5619,F. La Mantía,26,Venezuela,66,Deportivo La Guaira FC,€1.1M,€500,Right,1.0,Medium/ High,182cm,79.0
5620,22 S. Messeguem,20,Germany,63,FC Erzgebirge Aue,€1M,€2K,Right,1.0,High/ High,185cm,79.0
5621,22 Z. Muñoz,20,Mexico,61,Club Atlético de San Luis,€725K,€6K,Right,1.0,High/ Medium,175cm,68.0
5622,T. Jenks,20,England,58,Crawley Town,€525K,€7K,Right,1.0,Medium/ Medium,192cm,82.0
5623,22 M. Reyes,18,Ecuador,58,Delfín Sporting Club,€425K,€500,Right,1.0,Medium/ Medium,165cm,65.0
5624,W. Alarcón,21,Chile,63,Unión La Calera,€1.1M,€800,Right,1.0,Medium/ High,176cm,70.0
5625,22 L. Matějka,22,Czech Republic,67,FC Viktoria Plzeň,€2.1M,€500,Right,1.0,Medium/ Medium,183cm,72.0
5626,R. Garcés,28,Ecuador,65,CS Emelec,€625K,€500,Right,1.0,Medium/ Medium,178cm,66.0
5627,B. Nuytinck,32,Netherlands,75,Udinese Calcio,€3.6M,€15K,Left,1.0,Low/ High,190cm,82.0
5628,L. Rose,23,Australia,59,Macarthur FC,€300K,€850,Right,1.0,High/ High,176cm,65.0
5629,Jonny Arriba,20,Spain,62,GD Chaves,€875K,€1K,Right,1.0,Medium/ Medium,176cm,73.0
5630,A. Tofan,25,Romania,66,Campionii FC Arges,€1M,€2K,Right,1.0,High/ High,173cm,71.0
5631,A. Alipour,26,Iran,70,Gil Vicente FC,€1.9M,€8K,Right,1.0,High/ Medium,181cm,74.0
5632,D. Fofana,19,Côte d'Ivoire,66,Molde FK,€2.2M,€1K,Right,1.0,Medium/ Low,181cm,82.0
5633,Ł. Łakomy,21,Poland,64,Zagłębie Lubin,€1.4M,€2K,Left,1.0,High/ High,181cm,79.0
5634,T. Clarke,24,Republic of Ireland,60,Bristol Rovers,€300K,€1K,Left,1.0,High/ Medium,175cm,65.0
5635,22 F. Diabaté,25,Mali,68,GZT Giresunspor,€1.4M,€10K,Left,1.0,High/ Low,175cm,60.0
5636,22 E. Games,20,Mexico,61,Santos Laguna,€725K,€3K,Right,1.0,Medium/ Medium,179cm,72.0
5637,W. Kanga,24,France,68,Hertha BSC,€2.4M,€11K,Right,1.0,Medium/ Medium,189cm,90.0
5638,K. Serber,23,France,63,Toulouse Football Club,€725K,€4K,Right,1.0,Medium/ Medium,172cm,70.0
5639,T. Dallinga,21,Netherlands,70,Toulouse Football Club,€3.6M,€9K,Right,1.0,Medium/ Medium,180cm,70.0
5640,D. Verón,21,Argentina,62,Club Atlético Central Córdoba,€900K,€2K,Right,1.0,Medium/ Medium,180cm,78.0
5641,J. Franco,20,Colombia,63,Deportivo Cali,€1M,€650,Right,1.0,Medium/ Medium,178cm,70.0
5642,22 J. Fuentes,29,Peru,66,Carlos A. Mannucci,€725K,€500,Right,1.0,Medium/ Medium,186cm,87.0
5643,Jonathan,24,Brazil,68,Unión Deportiva Almería,€2.3M,€8K,Left,1.0,High/ Medium,172cm,70.0
5644,L. Schuster,21,Austria,64,SK Rapid Wien,€1.2M,€5K,Right,1.0,Medium/ High,183cm,72.0
5645,R. Saravia,21,Uruguay,64,Club Atlético Peñarol,€1.2M,€500,Right,1.0,Medium/ Medium,173cm,72.0
5646,22 P. Labrín,20,Peru,61,FBC Melgar,€725K,€500,Right,1.0,Medium/ Medium,170cm,69.0
5647,21 W. Godoy,26,Ecuador,64,CS Emelec,€625K,€500,Right,1.0,Medium/ High,178cm,67.0
5648,K. McInroy,21,Scotland,60,Kilmarnock,€525K,€900,Left,1.0,Medium/ Medium,180cm,78.0
5649,22 M. Huamán,18,Peru,63,Sport Huancayo,€1M,€500,Right,1.0,Medium/ Medium,175cm,68.0
5650,22 Diego Batista,21,Portugal,60,Futebol Clube de Famalicão,€550K,€1K,Right,1.0,Medium/ Medium,172cm,61.0
5651,H. Bilazer,27,Turkey,64,GZT Giresunspor,€625K,€3K,Right,1.0,High/ Medium,170cm,72.0
5652,J. McAtee,22,England,63,Grimsby Town,€975K,€6K,Right,1.0,High/ Low,180cm,75.0
5653,21 E. Bwomono,21,Uganda,63,Southend United,€1M,€2K,Right,1.0,High/ Medium,183cm,72.0
5654,J. Fazzini,19,Italy,61,Empoli,€850K,€1K,Right,1.0,Medium/ Medium,178cm,70.0
5655,22 V. Cuellar,20,Bolivia,62,Club Atlético Nacional Potosí,€875K,€500,Right,1.0,Medium/ Medium,175cm,72.0
5656,G. Oristanio,19,Italy,64,FC Volendam,€1.4M,€7K,Left,1.0,High/ Medium,174cm,62.0
5657,D. Proper,20,Netherlands,67,N.E.C. Nijmegen,€2.1M,€3K,Right,1.0,Medium/ Medium,168cm,63.0
5658,22 Z. Ondrášek,32,Czech Republic,67,Wisła Kraków,€825K,€3K,Right,1.0,High/ High,185cm,79.0
5659,22 S. Flores,26,Mexico,64,Club Deportivo Guadalajara,€650K,€9K,Right,1.0,Low/ Medium,184cm,82.0
5660,T. Bech,20,Denmark,65,FC Ingolstadt 04,€1.6M,€2K,Left,1.0,High/ Medium,189cm,77.0
5661,C. Starfelt,27,Sweden,73,Celtic,€3.5M,€36K,Right,1.0,Medium/ Medium,185cm,81.0
5662,C. Roca,25,Bolivia,63,Club Deportivo Oriente Petrolero,€650K,€500,Left,1.0,Medium/ High,168cm,77.0
5663,C. Wilkinson,27,Republic of Ireland,63,Walsall,€525K,€4K,Left,1.0,High/ Medium,191cm,77.0
5664,W. Araujo,26,Paraguay,66,Metropolitanos de Caracas FC,€1.1M,€500,Right,1.0,Medium/ Medium,172cm,66.0
5665,A. Bangura,22,Sierra Leone,69,SC Cambuur,€2.7M,€4K,Left,1.0,High/ High,183cm,68.0
5666,21 R. Dorrego,25,Uruguay,60,Cerro Largo Fútbol Club,€325K,€2K,Right,1.0,High/ Medium,176cm,72.0
5667,20 T. Mae,25,Japan,65,Yokohama F. Marinos,€575K,€2K,Right,1.0,Medium/ Medium,172cm,62.0
5668,22 J. Akomadi,20,Ghana,61,Atakaş Hatayspor,€725K,€2K,Left,1.0,High/ Medium,180cm,75.0
5669,21 O. İmeri,20,Albania,62,Antalyaspor,€925K,€2K,Right,1.0,Medium/ Medium,177cm,70.0
5670,C. Archer,20,England,70,Aston Villa,€3.5M,€30K,Right,1.0,High/ Low,179cm,74.0
5671,R. Ardiles,34,Peru,68,Ayacucho,€575K,€500,Right,1.0,High/ Medium,160cm,60.0
5672,L. Tomlin,33,England,64,Doncaster Rovers,€375K,€5K,Right,1.0,Medium/ Low,180cm,74.0
5673,K. Arriaga,24,Honduras,67,Minnesota United FC,€1.4M,€2K,Right,1.0,Medium/ High,191cm,82.0
5674,A. Álvarez Wallace,21,Uruguay,65,Club Atlético Peñarol,€1.5M,€500,Right,1.0,Medium/ Medium,179cm,76.0
5675,22 M. Biron,23,France,67,AS Nancy Lorraine,€1.6M,€5K,Right,1.0,High/ Medium,170cm,71.0
5676,S. Breitkreuz,30,Germany,71,SSV Jahn Regensburg,€1.5M,€9K,Right,1.0,Medium/ High,189cm,87.0
5677,22 M. Matzuda,21,Peru,65,Club Alianza Lima,€1M,€500,Right,1.0,Medium/ Low,171cm,60.0
5678,S. Ngabo,17,Denmark,59,Lyngby BK,€550K,€500,Right,1.0,High/ Medium,174cm,66.0
5679,M. Łęgowski,19,Poland,60,Pogoń Szczecin,€625K,€1K,Right,1.0,Medium/ Medium,181cm,81.0
5680,A. Marin,21,Croatia,68,Dinamo Zagreb,€2.7M,€500,Right,1.0,Medium/ Medium,182cm,78.0
5681,C. Jander,19,Germany,61,MSV Duisburg,€700K,€900,Right,1.0,High/ High,183cm,75.0
5682,22 F. Kitsos,18,Greece,63,Olympiacos CFP,€1M,€500,Left,1.0,Medium/ Medium,174cm,75.0
5683,F. Pereira,22,Uruguay,69,Liverpool Fútbol Club,€3M,€500,Right,1.0,Medium/ Medium,187cm,81.0
5684,21 J. Fernández,21,Bolivia,65,Club Bolívar,€1.4M,€500,Right,1.0,Low/ Medium,168cm,65.0
5685,Y. Ben Balla,26,France,66,SV Darmstadt 98,€1.1M,€6K,Right,1.0,Low/ High,181cm,72.0
5686,21 Y. Reyes,26,Venezuela,62,Llaneros de Guanare Escuela de Fútbol,€475K,€500,Left,1.0,Medium/ Medium,165cm,60.0
5687,S. Zamora,20,Ecuador,63,C.D. Universidad Católica del Ecuador,€1M,€500,Right,1.0,Medium/ Medium,170cm,66.0
5688,F. Hernandez,24,United States,62,Sporting Kansas City,€800K,€1K,Right,1.0,High/ High,170cm,61.0
5689,M. Kvistgaarden,20,Denmark,64,Brøndby IF,€1.3M,€3K,Right,1.0,High/ High,175cm,68.0
5690,22 R. Arancibia,21,Bolivia,62,Club Atlético Palmaflor,€850K,€500,Right,1.0,High/ High,170cm,65.0
5691,Z. Clough,27,England,63,Adelaide United,€550K,€1K,Right,1.0,Medium/ Low,170cm,64.0
5692,A. Diallo,19,Côte d'Ivoire,69,Manchester United,€3.6M,€23K,Left,1.0,High/ Medium,173cm,72.0
5693,H. White,27,England,62,Walsall,€375K,€3K,Right,1.0,Medium/ Medium,185cm,68.0
5694,S. Lewkot,23,Poland,64,Śląsk Wrocław,€1.2M,€2K,Right,1.0,High/ Medium,187cm,85.0
5695,22 J. Micolta,19,Colombia,58,Deportivo Pasto,€450K,€500,Right,1.0,Medium/ Medium,171cm,68.0
5696,Y. Engelhardt,21,Germany,64,SC Freiburg II,€1.2M,€4K,Right,1.0,Medium/ Medium,184cm,74.0
5697,Fábio Silva,19,Portugal,70,RSC Anderlecht,€3.8M,€24K,Right,1.0,Medium/ Medium,185cm,75.0
5698,C. Morton,22,England,64,Fleetwood Town,€1.3M,€3K,Right,1.0,High/ High,178cm,65.0
5699,21 M. Rouai,19,France,61,CD Nacional,€775K,€1K,Right,1.0,Medium/ Medium,184cm,76.0
5700,H. Ruíz Díaz,29,Uruguay,68,Platense,€1M,€6K,Right,1.0,Medium/ High,177cm,74.0
5701,14 Rodri,28,Spain,71,Rayo Vallecano,€825K,€15K,Right,1.0,Medium/ High,185cm,81.0
5702,W. Faes,24,Belgium,77,Stade de Reims,€14.5M,€20K,Right,1.0,Medium/ Medium,187cm,82.0
5703,Z. Sertdemir,17,Denmark,62,Bayer 04 Leverkusen,€1.2M,€1K,Left,1.0,Medium/ Medium,182cm,71.0
5704,Z. Buurmeester,20,Netherlands,62,AZ Alkmaar,€1M,€2K,Right,1.0,High/ Medium,182cm,65.0
5705,A. Franco,25,Argentina,72,Atlanta United,€3.3M,€6K,Right,1.0,Medium/ High,183cm,77.0
5706,J. Nilsson,27,Sweden,63,Hammarby IF,€475K,€1K,Right,1.0,Medium/ Medium,180cm,75.0
5707,J. Gibson,24,England,64,Carlisle United,€875K,€3K,Right,1.0,High/ High,178cm,80.0
5708,L. Otormín,25,Uruguay,68,Club Nacional de Football,€1.6M,€500,Right,1.0,High/ Medium,173cm,74.0
5709,S. Aziz,31,Turkey,74,Fenerbahçe SK,€2.9M,€45K,Right,1.0,Low/ High,183cm,81.0
5710,R. Arace,27,Venezuela,65,Deportivo Táchira FC,€825K,€500,Right,1.0,Medium/ Medium,173cm,71.0
5711,N. Sibisi,26,South Africa,69,Orlando Pirates,€1.8M,€500,Right,1.0,Medium/ High,172cm,65.0
5712,M. Sorinola,21,England,63,Swansea City,€1M,€2K,Right,1.0,Medium/ Medium,173cm,65.0
5713,J. Assehnoun,23,Finland,65,FC Emmen,€1.1M,€2K,Right,1.0,High/ Medium,176cm,73.0
5714,J. Balagizi,18,England,59,Crawley Town,€575K,€5K,Right,1.0,High/ Medium,189cm,78.0
5715,D. Paz,20,Venezuela,63,Deportivo La Guaira FC,€1.2M,€500,Right,1.0,Medium/ Medium,174cm,73.0
